Name,jaType,jaDistMpc,jaIncl,jaMstar,jaMorphPA,jaKinPA,jaReff,jaVstar,jaVsys
IC0480,Sc,65.2,76.7,10.15,167.9,-12.1,24.16,90.27,4541.97
IC0944,Sab,100.0,69.5,11.26,105.7,-74.3,19.01,195.23,6845.50
IC1199,Sb,60.7,64.5,10.60,157.3,157.3,20.99,146.53,4666.25
IC1683,Sb,69.3,50.5,10.59,15.6,-161.3,13.07,114.72,4773.18
IC2247,Sab,61.8,77.8,10.51,148.5,148.5,21.38,111.76,4215.30
IC2487,Sc,62.2,78.0,10.40,162.9,162.9,25.34,116.64,4278.08
IC4566,Sb,79.7,53.9,10.95,161.0,-19.0,15.84,144.33,5515.33
NGC0477,Sbc,83.8,60.5,10.48,128.4,-51.6,21.78,104.86,5731.99
NGC0496,Scd,85.9,57.0,10.41,32.7,-147.3,19.01,77.23,5908.02
NGC0551,Sbc,74.3,64.2,10.64,137.5,137.5,19.80,115.83,5094.57
NGC2253,Sbc,51.2,48.3,10.52,109.7,109.7,15.44,103.49,3516.41
NGC2347,Sbc,63.6,50.7,10.94,9.1,9.1,18.61,175.43,4359.36
NGC2410,Sb,66.8,71.6,10.88,34.6,54.6,21.38,175.55,4600.08
NGC2639,Sa,46.5,50.2,11.17,130.3,130.3,17.42,203.92,3149.31
NGC2906,Sbc,30.6,55.7,10.39,82.6,82.6,19.40,117.05,2120.89
NGC3815,Sbc,53.0,60.4,10.35,67.8,-112.2,14.26,115.52,3660.81
NGC3994,Sbc,44.1,59.9,10.42,8.1,8.1,9.50,164.85,3085.49
NGC4047,Sbc,49.2,42.9,10.69,97.6,-82.4,16.63,109.69,3405.28
NGC4149,Sa,44.0,66.2,10.36,85.4,-94.6,18.61,137.22,3062.19
NGC4210,Sb,38.8,41.8,10.29,97.7,97.7,21.38,83.34,2701.64
NGC4644,Sb,70.5,72.9,10.45,57.0,-123.0,12.60,115.77,4870.88
NGC4711,Sbc,58.2,58.5,10.31,41.4,41.4,17.82,86.55,4019.40
NGC4961,Scd,36.6,47.4,9.68,100.6,-79.4,15.05,66.73,2539.42
NGC5016,Sbc,37.3,40.9,10.24,57.4,-122.6,17.82,87.83,2595.19
NGC5056,Sc,79.4,55.7,10.48,3.4,3.4,15.84,120.70,5494.81
NGC5218,Sab,41.4,31.7,10.65,101.4,101.4,18.61,152.12,2878.92
NGC5480,Scd,27.0,36.2,10.14,41.9,-2.0,25.74,62.98,1887.88
NGC5520,Sbc,26.8,59.4,9.86,63.1,63.1,12.28,99.89,1877.19
NGC5633,Sbc,33.2,42.8,10.26,16.9,-163.1,13.86,90.54,2322.21
NGC5784,S0,77.6,36.4,11.22,19.2,-110.0,13.46,203.65,5353.01
NGC5908,Sa,47.8,50.7,11.22,154.0,-27.1,34.45,198.41,3298.51
NGC5980,Sbc,58.4,66.2,10.72,11.7,-168.3,17.42,150.54,4044.62
NGC6060,Sb,64.5,64.3,10.93,102.0,-78,28.51,143.28,4395.10
NGC6168,Sc,36.8,76.7,9.86,110.2,110.2,26.93,66.35,2523.05
NGC6186,Sb,42.1,40.5,10.57,49.6,-110.2,20.20,90.26,2946.99
NGC6301,Sbc,119.7,52.8,11.02,108.5,108.5,24.55,147.97,8134.66
NGC6394,Sbc,121.7,68.9,10.90,42.6,42.6,14.65,143.59,8324.46
NGC6478,Sc,97.1,68.4,11.01,34.2,-145.8,23.36,180.19,6637.44
UGC00809,Scd,60.0,79.0,9.69,23.6,-156.4,20.20,93.37,4146.13
UGC03539,Sc,47.2,72.1,9.85,117.9,117.9,20.99,NaN,3263.57
UGC03969,Sb,117.8,77.4,10.68,134.3,-45.7,15.05,130.62,7926.60
UGC04029,Sc,63.5,77.7,10.33,63.5,-116.5,26.14,108.85,4350.80
UGC04132,Sbc,74.4,72.0,10.77,27.6,27.6,22.97,160.56,5092.49
UGC05108,Sb,116.1,66.1,10.89,138.1,-41.9,9.50,194.46,7935.95
UGC05598,Sb,80.3,74.8,10.23,35.6,35.6,15.84,85.51,5522.98
UGC08107,Sa,118.6,71.4,11.07,53.2,53.2,16.63,207.94,8086.28
UGC09067,Sbc,112.1,62.5,10.58,12.6,-167.4,14.65,139.51,7649.28
UGC09537,Sb,126.1,78.0,11.22,140.7,-39.3,20.20,210.31,8545.50
UGC09542,Sc,78.4,72.7,10.32,34.3,34.3,21.38,99.09,5372.05
UGC09665,Sb,36.5,74.1,10.00,138.2,-41.8,18.61,74.93,2568.17
UGC09892,Sbc,81.1,72.2,10.30,101.0,-79.0,16.63,73.22,5564.49
UGC10123,Sab,53.8,77.1,10.52,53.6,53.6,18.22,122.92,3729.22
UGC10384,Sb,70.7,74.3,10.27,92.8,92.8,11.88,112.19,4894.88
UGC10710,Sb,119.7,69.6,10.99,147.2,147.2,20.20,168.86,8144.29
